Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
2024-10-31,2024-09-30,$1.49,$1.64
2024-08-01,2024-06-30,$1.34,$1.40
2024-05-02,2024-03-31,$1.51,$1.53
2024-02-01,2023-12-31,$2.09,$2.18
2023-11-02,2023-09-30,$1.39,$1.46
2023-08-03,2023-06-30,$1.19,$1.26
2023-05-04,2023-03-31,$1.44,$1.52
2023-02-02,2022-12-31,$1.93,$1.88
2022-10-27,2022-09-30,$1.26,$1.29
2022-07-28,2022-06-30,$1.14,$1.20
2022-04-28,2022-03-31,$1.43,$1.52
2022-01-27,2021-12-31,$1.89,$2.10
2021-10-28,2021-09-30,$1.24,$1.24
2021-07-27,2021-06-30,$1.00,$1.30
2021-04-28,2021-03-31,$1.00,$1.40
2021-01-27,2020-12-31,$1.41,$1.68
2020-10-29,2020-09-30,$0.69,$0.73
2020-07-30,2020-06-30,$0.51,$0.65
2020-04-30,2020-03-31,$0.52,$0.64
2020-01-28,2019-12-31,$1.14,$1.25
2019-10-30,2019-09-30,$0.71,$0.76
2019-07-30,2019-06-30,$0.53,$0.55
2019-04-30,2019-03-31,$0.59,$0.62
2019-01-29,2018-12-31,$1.04,$1.05
2018-11-01,2018-09-30,$0.70,$0.73
2018-07-31,2018-06-30,$0.54,$0.59
2018-05-01,2018-03-31,$0.67,$0.68
2018-02-01,2017-12-31,$0.96,$0.97
2017-11-02,2017-09-30,$0.47,$0.52
2017-08-01,2017-06-30,$0.39,$0.42
2017-05-02,2017-03-31,$0.51,$0.53
2017-01-31,2016-12-31,$0.81,$0.84
2016-10-25,2016-09-30,$0.42,$0.42
2016-07-26,2016-06-30,$0.35,$0.36
2016-04-26,2016-03-31,$0.49,$0.48
2016-01-26,2015-12-31,$0.81,$0.82
2015-10-27,2015-09-30,$0.47,$0.49
2015-07-21,2015-06-30,$0.45,$0.46
2015-04-27,2015-03-31,$0.55,$0.58
2015-01-27,2014-12-31,$0.65,$0.77
